Food,Protein,Fat,Carbs,Carbs_Delay,Carbs_StdDev,Protein_Delay,Protein_StdDev,Fat_Delay,Fat_StdDev
food_1,32,11,17,12,7,16,10,20,12
food_2,19,43,58,11,8,15,10,19,11
food_3,28,13,26,12,7,16,9,18,11
food_4,15,47,113,12,7,15,9,20,11
food_5,24,36,97,11,8,14,8,19,11
food_6,22,40,66,12,8,15,9,20,13
food_7,13,54,31,12,7,15,9,20,11
food_8,40,59,22,12,7,15,9,19,12
food_9,7,23,3,10,7,14,8,20,12
food_10,2,35,103,11,7,15,9,19,12
food_11,34,50,9,11,6,15,9,19,12
food_12,12,28,37,12,6,15,10,19,13
food_13,22,26,94,12,7,15,9,20,12
food_14,37,18,51,12,7,15,9,18,12
food_15,4,30,74,11,7,15,9,18,11
food_16,8,2,116,11,8,15,8,19,11
food_17,35,16,88,12,7,15,10,20,13
food_18,3,5,62,10,7,14,9,20,12
food_19,28,8,79,12,6,15,10,20,11
food_20,17,53,43,12,6,16,9,20,12
