Food,Protein,Fat,Carbs,Carbs_Delay,Carbs_StdDev,Protein_Delay,Protein_StdDev,Fat_Delay,Fat_StdDev
food_1,32,11,17,12,3,16,4,20,5
food_2,19,43,58,11,4,15,4,19,5
food_3,28,13,26,12,3,16,4,18,5
food_4,15,47,113,12,3,15,4,20,5
food_5,24,36,97,11,4,14,4,19,5
food_6,22,40,66,12,4,15,4,20,6
food_7,13,54,31,12,3,15,4,20,5
food_8,40,59,22,12,3,15,4,19,5
food_9,7,23,3,10,3,14,4,20,5
food_10,2,35,103,11,3,15,4,19,5
food_11,34,50,9,11,3,15,4,19,5
food_12,12,28,37,12,3,15,4,19,6
food_13,22,26,94,12,3,15,4,20,5
food_14,37,18,51,12,3,15,4,18,5
food_15,4,30,74,11,3,15,4,18,5
food_16,8,2,116,11,4,15,4,19,5
food_17,35,16,88,12,3,15,4,20,6
food_18,3,5,62,10,3,14,4,20,5
food_19,28,8,79,12,3,15,4,20,5
food_20,17,53,43,12,3,16,4,20,5
