Food,Protein,Fat,Carbs,Carbs_Delay,Carbs_StdDev,Protein_Delay,Protein_StdDev,Fat_Delay,Fat_StdDev
food_1,32,11,17,5,1,6,2,7,2
food_2,19,43,58,5,2,6,2,7,2
food_3,28,13,26,5,1,6,2,6,2
food_4,15,47,113,5,2,6,2,7,2
food_5,24,36,97,5,2,5,1,7,2
food_6,22,40,66,5,2,6,2,7,2
food_7,13,54,31,5,1,6,1,7,2
food_8,40,59,22,5,1,6,2,7,2
food_9,7,23,3,4,1,5,1,7,2
food_10,2,35,103,5,1,5,2,6,2
food_11,34,50,9,5,1,6,2,7,2
food_12,12,28,37,5,1,6,2,7,2
food_13,22,26,94,5,2,6,2,7,2
food_14,37,18,51,5,1,6,2,6,2
food_15,4,30,74,5,2,5,1,6,2
food_16,8,2,116,5,2,6,1,7,2
food_17,35,16,88,5,2,6,2,7,2
food_18,3,5,62,4,2,5,2,7,2
food_19,28,8,79,5,1,6,2,7,2
food_20,17,53,43,5,1,6,2,7,2
