Food,Protein,Fat,Carbs,Carbs_Delay,Carbs_StdDev,Protein_Delay,Protein_StdDev,Fat_Delay,Fat_StdDev
food_1,32,11,17,8,5,10,6,12,7
food_2,19,43,58,7,6,9,6,11,7
food_3,28,13,26,8,5,10,6,10,7
food_4,15,47,113,8,5,9,6,12,7
food_5,24,36,97,7,6,8,5,11,7
food_6,22,40,66,8,6,9,6,12,8
food_7,13,54,31,8,5,9,6,12,7
food_8,40,59,22,8,5,9,6,11,8
food_9,7,23,3,6,5,8,5,12,8
food_10,2,35,103,7,5,9,6,11,8
food_11,34,50,9,7,4,9,6,11,8
food_12,12,28,37,8,4,9,6,11,8
food_13,22,26,94,8,5,9,6,12,8
food_14,37,18,51,8,5,9,6,10,8
food_15,4,30,74,7,5,9,6,10,7
food_16,8,2,116,7,6,9,5,11,7
food_17,35,16,88,8,5,9,6,12,8
food_18,3,5,62,6,5,8,6,12,7
food_19,28,8,79,8,4,9,6,12,7
food_20,17,53,43,8,4,10,5,12,8
