Food,Protein,Fat,Carbs,Carbs_Delay,Carbs_StdDev,Protein_Delay,Protein_StdDev,Fat_Delay,Fat_StdDev
food_1,32,11,17,8,2,10,3,12,3
food_2,19,43,58,7,2,9,3,11,3
food_3,28,13,26,8,2,10,2,10,3
food_4,15,47,113,8,2,9,2,12,3
food_5,24,36,97,7,2,8,2,11,3
food_6,22,40,66,8,2,9,3,12,4
food_7,13,54,31,8,2,9,2,12,3
food_8,40,59,22,8,2,9,3,11,3
food_9,7,23,3,6,2,8,2,12,3
food_10,2,35,103,7,2,9,3,11,3
food_11,34,50,9,7,2,9,3,11,3
food_12,12,28,37,8,2,9,3,11,4
food_13,22,26,94,8,2,9,3,12,3
food_14,37,18,51,8,2,9,3,10,3
food_15,4,30,74,7,2,9,2,10,3
food_16,8,2,116,7,2,9,2,11,3
food_17,35,16,88,8,2,9,3,12,4
food_18,3,5,62,6,2,8,3,12,3
food_19,28,8,79,8,2,9,3,12,3
food_20,17,53,43,8,2,10,2,12,3
