Food,Protein,Fat,Carbs,Carbs_Delay,Carbs_StdDev,Protein_Delay,Protein_StdDev,Fat_Delay,Fat_StdDev
food_1,32,11,17,17,9,25,13,37,18
food_2,19,43,58,16,10,23,14,32,17
food_3,28,13,26,18,9,25,12,31,16
food_4,15,47,113,17,9,21,12,35,17
food_5,24,36,97,15,10,20,11,33,17
food_6,22,40,66,18,10,21,13,37,19
food_7,13,54,31,17,9,24,12,37,17
food_8,40,59,22,17,9,23,12,33,18
food_9,7,23,3,15,9,21,11,38,19
food_10,2,35,103,16,9,23,13,32,19
food_11,34,50,9,16,9,22,12,34,18
food_12,12,28,37,18,8,24,14,33,20
food_13,22,26,94,17,10,23,13,38,19
food_14,37,18,51,17,9,23,12,31,19
food_15,4,30,74,16,10,22,13,31,17
food_16,8,2,116,16,10,24,11,34,16
food_17,35,16,88,17,9,23,14,38,20
food_18,3,5,62,14,10,20,13,37,18
food_19,28,8,79,18,9,21,14,36,17
food_20,17,53,43,17,8,26,12,38,18
