Food,Protein,Fat,Carbs,Carbs_Delay,Carbs_StdDev,Protein_Delay,Protein_StdDev,Fat_Delay,Fat_StdDev
food_1,32,11,17,17,4,25,6,37,9
food_2,19,43,58,16,4,23,6,32,8
food_3,28,13,26,18,4,25,6,31,8
food_4,15,47,113,17,4,21,6,35,8
food_5,24,36,97,15,4,20,5,33,8
food_6,22,40,66,18,4,21,6,37,9
food_7,13,54,31,17,4,24,6,37,8
food_8,40,59,22,17,4,23,6,33,9
food_9,7,23,3,15,4,21,5,38,9
food_10,2,35,103,16,4,23,6,32,9
food_11,34,50,9,16,4,22,6,34,9
food_12,12,28,37,18,4,24,6,33,10
food_13,22,26,94,17,4,23,6,38,9
food_14,37,18,51,17,4,23,6,31,9
food_15,4,30,74,16,4,22,6,31,8
food_16,8,2,116,16,4,24,5,34,8
food_17,35,16,88,17,4,23,6,38,10
food_18,3,5,62,14,4,20,6,37,9
food_19,28,8,79,18,4,21,6,36,8
food_20,17,53,43,17,4,26,5,38,9
