"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","237.36364020705798","61.69883030137593","4.721900993314522","-0.31197865973435573","0.356201171875","0.529296875","0.18310546875","1300","0.0001282362534543664","0","0.0001282362534543664","0.0001282362534543664","","","true"
"1","336.39913815951826","336.24216097491245","4.815136585640555","-0.3097440319777085","0.27587890625","0.09228515625","0.45947265625","1300","0.0004210364105014598","0","0.0004210364105014598","0.0004210364105014598","1_0:0.00967508026334113","1_0:660","true"
"2","145.32893982504785","105.7275339954369","4.609652244377777","-0.3090875180776862","0.247314453125","0.171875","0.32275390625","1300","0.0010365801696041426","0","0.0010365801696041426","0.0010365801696041426","2_1:0.01757405071856616","2_1:660","true"
"3","328.58130446156446","401.6335047471614","4.875541331889611","-0.30968652168552707","0.22412109375","0.107421875","0.3408203125","1300","0.0001892734109235298","0","0.0001892734109235298","0.0001892734109235298","3_2:0.015351619225949464","3_2:660","true"
"4","226.28490752797998","171.4920610428953","4.818193075548114","-0.3103713081153928","0.28515625","0.216796875","0.353515625","1300","0.00014474909705773214","0","0.00014474909705773214","0.00014474909705773214","4_15:0.00547136290517769;4_3:0.0030257390717715604;4_5:0.004708516861834766","4_15:660;4_3:660;4_5:660","true"
"5","241.80981508529186","332.2090240393832","4.734145406860074","-0.3114518235315779","0.27392578125","0.08203125","0.4658203125","1300","0.000185405153357658","0","0.000185405153357658","0.000185405153357658","","","true"
"6","314.96743872600047","86.6309131874956","4.876259931344237","-0.30918835047116894","0.19482421875","0.23681640625","0.15283203125","1300","0.00018226815178444197","0","0.00018226815178444197","0.00018226815178444197","6_5:0.007407055654162886;6_7:0.005224140390708121","6_5:660;6_7:660","true"
"7","280.0514314179677","259.4161410557391","4.967510330951145","-0.30745739300983294","0.267822265625","0.14990234375","0.3857421875","1300","0.0003255801825383553","0","0.0003255801825383553","0.0003255801825383553","7_8:0.0041493751374495624","7_8:660","true"
"8","365.6820454448845","298.66022707790654","4.9023617472941785","-0.30837827664687645","0.275634765625","0.37548828125","0.17578125","1300","0.00011959855449011275","0","0.00011959855449011275","0.00011959855449011275","8_9:0.0067086491201749365","8_9:660","true"
"9","420.47787163484253","192.72102150573346","4.987238918839792","-0.3080310587566364","0.388427734375","0.01806640625","0.7587890625","1300","0.00015062285642412305","0","0.00015062285642412305","0.00015062285642412305","","","true"
"10","95.87805521936822","119.36590649705674","4.831533631170924","-0.3097434424405673","0.314453125","0.3330078125","0.2958984375","1300","0.0003712045285325217","0","0.0003712045285325217","0.0003712045285325217","10_9:0.009793512002736149;10_11:0.010294779885614336","10_9:660;10_11:660","true"
"11","63.361947250900705","89.27138285793974","4.972388590913118","-0.307214316560019","0.322265625","0.33984375","0.3046875","1300","0.000227471704608048","0","0.000227471704608048","0.000227471704608048","11_12:0.009639689223228887","11_12:660","true"
"12","313.93936592552654","171.71987829020873","4.936313627364827","-0.3079608272575031","0.30517578125","0.05859375","0.5517578125","1300","0.00023710966459655503","0","0.00023710966459655503","0.00023710966459655503","12_17:0.011176153298097458","12_17:660","true"
"13","242.51078149063403","108.31089096910648","5.005799751899595","-0.3067650398842775","0.281005859375","0.13671875","0.42529296875","1300","0.00027893522000191047","0","0.00027893522000191047","0.00027893522000191047","13_12:0.010888602232240085","13_12:660","true"
"14","321.8036001207407","111.37974687163236","4.90334528965202","-0.308419961199297","0.284423828125","0.556640625","0.01220703125","1300","0.00043699593706666593","0","0.00043699593706666593","0.00043699593706666593","14_0:0.005347975510777092;14_18:0.005692600684372662","14_0:660;14_18:660","true"
"15","223.2616823605161","41.69731939954444","4.947912435067453","-0.308052427832017","0.30517578125","0.2548828125","0.35546875","1300","0.0003040711379266878","0","0.0003040711379266878","0.0003040711379266878","15_22:0.007753410312573428","15_22:660","true"
"16","190.68616374773964","17.00064347226204","4.960342169048256","-0.3076594514774509","0.181884765625","0.078125","0.28564453125","1300","0.00024249114297827048","0","0.00024249114297827048","0.00024249114297827048","16_8:0.005602195910693053;16_26:0.006438578245032522","16_8:660;16_26:660","true"
"17","336.5350182257447","369.6431829693165","4.820811370867286","-0.30970435909943395","0.249755859375","0.01123046875","0.48828125","1300","0.00010876630387196381","0","0.00010876630387196381","0.00010876630387196381","17_30:0.005467780881164064","17_30:660","true"
"18","302.6503414115316","120.15767605225341","4.788132085308067","-0.31063598977187784","0.49169921875","0","0.9833984375","1300","0.00023786159145997547","0","0.00023786159145997547","0.00023786159145997547","18_19:0.004682875454981084","18_19:660","true"
"19","428.91738667555865","156.04618978677146","4.747015691078194","-0.31072395279331844","0.28662109375","0.2861328125","0.287109375","1300","0.0005826676147514999","0","0.0005826676147514999","0.0005826676147514999","","","true"
"20","367.66737387560835","277.7627307322256","4.8623447198339225","-0.3090978906556921","0.312744140625","0.2900390625","0.33544921875","1300","0.00010467252080972386","0","0.00010467252080972386","0.00010467252080972386","20_33:0.04378108567675082;20_19:0.004921937011453548","20_33:660;20_19:660","true"
"21","291.19074166476304","157.27710455518545","4.966495451956256","-0.30694839478531033","0.14111328125","0.08056640625","0.20166015625","1300","0.00013687643937721495","0","0.00013687643937721495","0.00013687643937721495","21_20:0.004243456583320593;21_22:0.0056730742760564","21_20:660;21_22:660","true"
"22","116.42443997892171","99.17934836878538","5.0381941938617425","-0.3065535436677073","0.306884765625","0.06787109375","0.5458984375","1300","0.00019973349080584213","0","0.00019973349080584213","0.00019973349080584213","22_23:0.007388434653670728","22_23:660","true"
"23","262.1135392965125","186.02363896199995","4.844978237008288","-0.309395699354676","0.24462890625","0.33154296875","0.15771484375","1300","0.0001801496994212563","0","0.0001801496994212563","0.0001801496994212563","","","true"
